label,height_m,receiver_distance_m,wedge_angle_deg,path_difference_m,fresnel_500hz,maekawa_500hz_db,a_weighted_db,il_50hz_db,il_63hz_db,il_80hz_db,il_100hz_db,il_125hz_db,il_160hz_db,il_200hz_db,il_250hz_db,il_315hz_db,il_400hz_db,il_500hz_db,il_630hz_db,il_800hz_db,il_1000hz_db,il_1250hz_db,il_1600hz_db,il_2000hz_db,il_2500hz_db,il_3150hz_db,il_4000hz_db,il_5000hz_db,il_6300hz_db,il_8000hz_db,il_10000hz_db
h2.5-d5-w270,2.5,5,270,0.1980,0.5774,10.981,14.567,3.376,3.973,4.614,5.237,5.882,6.623,7.320,8.042,8.821,9.657,10.468,11.337,12.263,13.153,14.061,15.085,16.024,16.972,17.960,18.988,19.951,20.950,21.985,22.952
h2.5-d10-w360,2.5,10,360,0.1489,0.4341,9.997,16.141,6.520,6.955,7.426,7.888,8.376,8.948,9.500,10.088,10.736,11.450,12.160,12.936,13.781,14.607,15.464,16.443,17.351,18.276,19.248,20.264,21.219,22.214,23.245,24.211
h2.5-d10-w315,2.5,10,315,0.1489,0.4341,9.997,15.470,5.445,5.940,6.468,6.980,7.512,8.129,8.715,9.333,10.008,10.746,11.473,12.265,13.123,13.958,14.823,15.808,16.720,17.648,18.622,19.639,20.595,21.590,22.622,23.588
h2.5-d10-w270,2.5,10,270,0.1489,0.4341,9.997,14.248,3.663,4.226,4.826,5.402,5.996,6.677,7.315,7.979,8.696,9.471,10.228,11.044,11.923,12.773,13.649,14.643,15.562,16.494,17.472,18.491,19.449,20.445,21.477,22.443
h2.5-d20-w360,2.5,20,360,0.1240,0.3615,9.416,15.657,6.487,6.891,7.327,7.755,8.207,8.738,9.252,9.800,10.407,11.080,11.750,12.488,13.296,14.090,14.919,15.873,16.762,17.673,18.634,19.641,20.591,21.582,22.610,23.574
h2.5-d20-w315,2.5,20,315,0.1240,0.3615,9.416,15.075,5.507,5.971,6.463,6.939,7.434,8.008,8.555,9.133,9.766,10.462,11.150,11.903,12.724,13.529,14.366,15.326,16.219,17.133,18.096,19.105,20.056,21.047,22.077,23.041
h2.5-d20-w270,2.5,20,270,0.1240,0.3615,9.416,13.998,3.840,4.378,4.947,5.492,6.051,6.691,7.291,7.916,8.592,9.325,10.043,10.823,11.666,12.486,13.336,14.306,15.207,16.126,17.093,18.105,19.058,20.050,21.080,22.045
h2.5-d40-w360,2.5,40,360,0.1115,0.3251,9.100,15.375,6.468,6.854,7.271,7.680,8.112,8.620,9.112,9.638,10.222,10.869,11.517,12.232,13.017,13.792,14.604,15.541,16.418,17.318,18.271,19.272,20.218,21.206,22.233,23.195
h2.5-d40-w315,2.5,40,315,0.1115,0.3251,9.100,14.840,5.542,5.986,6.458,6.914,7.388,7.938,8.463,9.017,9.627,10.297,10.962,11.692,12.491,13.276,14.095,15.039,15.920,16.824,17.780,18.782,19.730,20.718,21.745,22.708
h2.5-d40-w270,2.5,40,270,0.1115,0.3251,9.100,13.840,3.940,4.462,5.013,5.538,6.077,6.693,7.271,7.873,8.525,9.234,9.930,10.686,11.507,12.308,13.142,14.096,14.986,15.895,16.855,17.861,18.810,19.799,20.828,21.791
h2.5-d60-w360,2.5,60,360,0.1074,0.3130,8.990,15.274,6.462,6.842,7.251,7.653,8.078,8.579,9.063,9.581,10.156,10.795,11.434,12.141,12.918,13.686,14.491,15.422,16.294,17.191,18.140,19.139,20.083,21.070,22.096,23.058
h2.5-d60-w315,2.5,60,315,0.1074,0.3130,8.990,14.755,5.554,5.992,6.456,6.905,7.371,7.913,8.430,8.976,9.577,10.238,10.895,11.617,12.407,13.185,13.998,14.935,15.812,16.712,17.664,18.665,19.610,20.598,21.624,22.586
h2.5-d60-w270,2.5,60,270,0.1074,0.3130,8.990,13.781,3.975,4.492,5.036,5.554,6.086,6.693,7.263,7.857,8.501,9.200,9.888,10.636,11.449,12.243,13.070,14.019,14.904,15.810,16.766,17.770,18.717,19.706,20.733,21.696
h2.5-d80-w360,2.5,80,360,0.1053,0.3069,8.934,15.222,6.458,6.835,7.241,7.640,8.061,8.557,9.038,9.552,10.123,10.757,11.392,12.094,12.867,13.631,14.433,15.360,16.230,17.125,18.073,19.070,20.013,20.999,22.025,22.987
h2.5-d80-w315,2.5,80,315,0.1053,0.3069,8.934,14.711,5.560,5.994,6.455,6.900,7.363,7.900,8.412,8.955,9.551,10.208,10.861,11.578,12.364,13.138,13.948,14.882,15.756,16.654,17.605,18.604,19.548,20.535,21.561,22.523
h2.5-d80-w270,2.5,80,270,0.1053,0.3069,8.934,13.750,3.993,4.507,5.047,5.562,6.090,6.693,7.259,7.849,8.488,9.183,9.866,10.610,11.419,12.209,13.033,13.979,14.861,15.765,16.720,17.722,18.669,19.657,20.684,21.647
h3-d5-w360,3,5,360,0.4403,1.2837,14.126,19.521,7.717,8.322,8.982,9.634,10.319,11.119,11.879,12.673,13.530,14.449,15.334,16.273,17.262,18.200,19.148,20.204,21.164,22.127,23.127,24.161,25.129,26.132,27.168,28.137
h3-d5-w315,3,5,315,0.4403,1.2837,14.126,18.424,6.322,6.976,7.684,8.376,9.098,9.932,10.718,11.534,12.409,13.343,14.238,15.185,16.180,17.122,18.072,19.130,20.091,21.055,22.055,23.090,24.058,25.061,26.097,27.066
h3-d5-w270,3,5,270,0.4403,1.2837,14.126,16.531,4.149,4.836,5.581,6.308,7.064,7.934,8.749,9.590,10.486,11.437,12.345,13.301,14.304,15.250,16.204,17.264,18.227,19.191,20.192,21.228,22.196,23.198,24.235,25.204
h3-d10-w360,3,10,360,0.3320,0.9680,12.966,18.730,7.487,8.038,8.639,9.233,9.860,10.595,11.299,12.040,12.846,13.718,14.565,15.472,16.435,17.354,18.288,19.334,20.287,21.245,22.242,23.274,24.241,25.243,26.279,27.247
h3-d10-w315,3,10,315,0.3320,0.9680,12.966,17.835,6.276,6.879,7.530,8.166,8.830,9.601,10.332,11.096,11.922,12.810,13.669,14.585,15.555,16.479,17.416,18.464,19.419,20.378,21.375,22.409,23.375,24.377,25.413,26.382
h3-d10-w270,3,10,270,0.3320,0.9680,12.966,16.247,4.309,4.963,5.666,6.350,7.060,7.876,8.644,9.439,10.291,11.202,12.077,13.006,13.987,14.917,15.859,16.911,17.867,18.828,19.826,20.860,21.827,22.829,23.866,24.834
h3-d20-w360,3,20,360,0.2763,0.8056,12.236,18.201,7.356,7.871,8.433,8.988,9.576,10.268,10.933,11.636,12.405,13.243,14.061,14.942,15.883,16.786,17.708,18.743,19.690,20.644,21.637,22.668,23.633,24.634,25.669,26.638
h3-d20-w315,3,20,315,0.2763,0.8056,12.236,17.420,6.254,6.821,7.433,8.030,8.656,9.383,10.076,10.802,11.591,12.445,13.276,14.167,15.116,16.024,16.950,17.988,18.936,19.891,20.886,21.917,22.882,23.883,24.919,25.887
h3-d20-w270,3,20,270,0.2763,0.8056,12.236,16.001,4.409,5.035,5.707,6.358,7.034,7.811,8.543,9.304,10.123,11.003,11.852,12.758,13.719,14.635,15.566,16.609,17.560,18.517,19.512,20.544,21.510,22.512,23.548,24.516
h3-d40-w360,3,40,360,0.2483,0.7238,11.822,17.888,7.285,7.779,8.317,8.850,9.416,10.082,10.724,11.405,12.152,12.968,13.768,14.632,15.559,16.451,17.363,18.391,19.334,20.284,21.275,22.304,23.268,24.268,25.304,26.271
h3-d40-w315,3,40,315,0.2483,0.7238,11.822,17.168,6.242,6.788,7.377,7.952,8.554,9.256,9.925,10.630,11.397,12.229,13.042,13.916,14.851,15.749,16.665,17.697,18.641,19.592,20.584,21.614,22.578,23.579,24.614,25.582
h3-d40-w270,3,40,270,0.2483,0.7238,11.822,15.841,4.466,5.075,5.727,6.359,7.013,7.767,8.478,9.218,10.016,10.875,11.707,12.598,13.545,14.452,15.375,16.411,17.358,18.312,19.306,20.336,21.301,22.302,23.338,24.306
h3-d60-w360,3,60,360,0.2389,0.6965,11.676,17.776,7.260,7.746,8.277,8.802,9.359,10.017,10.650,11.323,12.062,12.869,13.663,14.520,15.442,16.329,17.239,18.264,19.204,20.153,21.143,22.172,23.135,24.135,25.170,26.138
h3-d60-w315,3,60,315,0.2389,0.6965,11.676,17.075,6.238,6.777,7.357,7.924,8.518,9.211,9.872,10.568,11.326,12.151,12.957,13.825,14.755,15.648,16.561,17.590,18.532,19.483,20.474,21.502,22.466,23.467,24.502,25.470
h3-d60-w270,3,60,270,0.2389,0.6965,11.676,15.781,4.486,5.089,5.734,6.358,7.005,7.750,8.453,9.185,9.976,10.827,11.653,12.538,13.481,14.383,15.303,16.337,17.282,18.235,19.227,20.257,21.222,22.223,23.258,24.226
