label,height_m,receiver_distance_m,wedge_angle_deg,path_difference_m,fresnel_500hz,maekawa_500hz_db,a_weighted_db,il_50hz_db,il_63hz_db,il_80hz_db,il_100hz_db,il_125hz_db,il_160hz_db,il_200hz_db,il_250hz_db,il_315hz_db,il_400hz_db,il_500hz_db,il_630hz_db,il_800hz_db,il_1000hz_db,il_1250hz_db,il_1600hz_db,il_2000hz_db,il_2500hz_db,il_3150hz_db,il_4000hz_db,il_5000hz_db,il_6300hz_db,il_8000hz_db,il_10000hz_db
h4-d5-w315,4,5,315,1.1803,3.4412,18.351,21.568,8.260,9.062,9.927,10.764,11.627,12.609,13.517,14.441,15.411,16.425,17.379,18.372,19.403,20.368,21.334,22.404,23.372,24.340,25.344,26.381,27.350,28.353,29.391,30.360
h4-d5-w270,4,5,270,1.1803,3.4412,18.351,19.054,5.696,6.501,7.370,8.215,9.086,10.076,10.990,11.919,12.894,13.911,14.867,15.862,16.893,17.859,18.825,19.896,20.864,21.832,22.836,23.873,24.842,25.846,26.883,27.852
h4-d10-w360,4,10,360,0.8979,2.6179,17.167,22.169,9.338,10.061,10.847,11.617,12.420,13.344,14.209,15.099,16.041,17.033,17.973,18.956,19.979,20.940,21.903,22.971,23.938,24.906,25.908,26.945,27.914,28.917,29.955,30.924
h4-d10-w315,4,10,315,0.8979,2.6179,17.167,20.905,7.886,8.647,9.468,10.265,11.092,12.037,12.917,13.818,14.770,15.768,16.712,17.698,18.724,19.685,20.650,21.718,22.685,23.653,24.656,25.693,26.662,27.665,28.703,29.672
h4-d10-w270,4,10,270,0.8979,2.6179,17.167,18.729,5.568,6.349,7.192,8.010,8.855,9.819,10.713,11.624,12.584,13.590,14.538,15.527,16.555,17.518,18.483,19.552,20.520,21.488,22.491,23.528,24.497,25.500,26.538,27.507
h4-d20-w360,4,20,360,0.7458,2.1744,16.366,21.563,8.993,9.680,10.429,11.165,11.935,12.828,13.667,14.534,15.458,16.436,17.365,18.340,19.357,20.314,21.275,22.341,23.307,24.274,25.276,26.313,27.281,28.285,29.322,30.291
h4-d20-w315,4,20,315,0.7458,2.1744,16.366,20.439,7.665,8.392,9.178,9.944,10.740,11.655,12.511,13.391,14.325,15.310,16.244,17.223,18.243,19.201,20.163,21.230,22.196,23.163,24.166,25.202,26.171,27.174,28.212,29.181
h4-d20-w270,4,20,270,0.7458,2.1744,16.366,18.441,5.476,6.232,7.048,7.841,8.662,9.600,10.474,11.369,12.314,13.308,14.249,15.231,16.254,17.215,18.178,19.246,20.212,21.180,22.183,23.219,24.188,25.192,26.229,27.198
h4-d40-w360,4,40,360,0.6682,1.9482,15.894,21.203,8.805,9.469,10.195,10.909,11.660,12.531,13.353,14.206,15.117,16.084,17.005,17.974,18.987,19.941,20.900,21.965,22.930,23.897,24.898,25.935,26.903,27.906,28.944,29.913
h4-d40-w315,4,40,315,0.6682,1.9482,15.894,20.156,7.545,8.251,9.015,9.760,10.537,11.431,12.271,13.137,14.059,15.034,15.961,16.934,17.950,18.905,19.865,20.931,21.897,22.863,23.865,24.902,25.870,26.874,27.911,28.880
h4-d40-w270,4,40,270,0.6682,1.9482,15.894,18.253,5.422,6.161,6.960,7.736,8.540,9.462,10.323,11.205,12.141,13.126,14.060,15.038,16.058,17.016,17.977,19.044,20.010,20.977,21.980,23.016,23.985,24.988,26.026,26.995
h4-d60-w360,4,60,360,0.6422,1.8724,15.724,21.074,8.739,9.395,10.112,10.819,11.562,12.425,13.241,14.088,14.994,15.957,16.875,17.842,18.853,19.806,20.764,21.829,22.793,23.759,24.761,25.797,26.766,27.769,28.806,29.775
h4-d60-w315,4,60,315,0.6422,1.8724,15.724,20.053,7.504,8.202,8.957,9.695,10.464,11.351,12.185,13.045,13.962,14.933,15.857,16.828,17.842,18.797,19.756,20.821,21.787,22.753,23.755,24.791,25.760,26.763,27.800,28.769
h4-d60-w270,4,60,270,0.6422,1.8724,15.724,18.183,5.403,6.136,6.928,7.697,8.496,9.412,10.267,11.145,12.076,13.058,13.989,14.966,15.984,16.941,17.902,18.968,19.934,20.901,21.903,22.940,23.908,24.912,25.949,26.918
h4-d80-w360,4,80,360,0.6292,1.8345,15.636,21.006,8.706,9.358,10.070,10.773,11.512,12.371,13.183,14.027,14.931,15.891,16.808,17.774,18.784,19.736,20.694,21.758,22.722,23.689,24.690,25.726,26.695,27.698,28.735,29.704
h4-d80-w315,4,80,315,0.6292,1.8345,15.636,20.000,7.482,8.176,8.927,9.661,10.427,11.310,12.140,12.998,13.912,14.881,15.804,16.773,17.787,18.741,19.700,20.765,21.729,22.696,23.698,24.734,25.702,26.706,27.743,28.712
h4-d80-w270,4,80,270,0.6292,1.8345,15.636,18.146,5.393,6.123,6.911,7.678,8.473,9.385,10.237,11.113,12.042,13.022,13.953,14.928,15.945,16.902,17.863,18.929,19.894,20.861,21.863,22.900,23.868,24.872,25.909,26.878
h5-d5-w360,5,5,360,2.2066,6.4331,21.066,25.614,11.964,12.825,13.747,14.634,15.542,16.566,17.505,18.453,19.442,20.469,21.432,22.432,23.467,24.434,25.402,26.474,27.442,28.411,29.415,30.452,31.421,32.425,33.462,34.431
h5-d5-w315,5,5,315,2.2066,6.4331,21.066,23.819,10.086,10.967,11.906,12.806,13.725,14.757,15.701,16.653,17.645,18.674,19.638,20.639,21.674,22.642,23.610,24.682,25.650,26.619,27.623,28.660,29.629,30.633,31.670,32.640
h5-d5-w270,5,5,270,2.2066,6.4331,21.066,20.844,7.164,8.027,8.954,9.846,10.758,11.786,12.728,13.679,14.670,15.699,16.663,17.663,18.698,19.666,20.634,21.706,22.674,23.643,24.647,25.684,26.653,27.657,28.694,29.664
h5-d10-w360,5,10,360,1.6981,4.9507,19.929,24.518,11.036,11.864,12.755,13.617,14.503,15.507,16.432,17.370,18.351,19.373,20.333,21.330,22.363,23.330,24.297,25.368,26.337,27.306,28.309,29.346,30.315,31.319,32.356,33.325
h5-d10-w315,5,10,315,1.6981,4.9507,19.929,22.971,9.378,10.232,11.146,12.025,12.924,13.940,14.872,15.816,16.801,17.826,18.787,19.786,20.820,21.787,22.754,23.826,24.794,25.763,26.766,27.804,28.773,29.776,30.814,31.783
h5-d10-w270,5,10,270,1.6981,4.9507,19.929,20.345,6.739,7.591,8.505,9.386,10.288,11.307,12.242,13.187,14.174,15.200,16.162,17.161,18.195,19.163,20.131,21.202,22.170,23.139,24.143,25.180,26.149,27.153,28.190,29.159
h5-d20-w360,5,20,360,1.4072,4.1027,19.113,23.788,10.464,11.263,12.126,12.964,13.829,14.815,15.726,16.654,17.627,18.643,19.599,20.594,21.625,22.591,23.558,24.628,25.596,26.565,27.568,28.605,29.574,30.578,31.615,32.584
h5-d20-w315,5,20,315,1.4072,4.1027,19.113,22.387,8.937,9.765,10.654,11.511,12.392,13.391,14.312,15.245,16.224,17.243,18.201,19.197,20.230,21.196,22.163,23.234,24.202,25.171,26.174,27.211,28.180,29.184,30.221,31.190
h5-d20-w270,5,20,270,1.4072,4.1027,19.113,19.916,6.423,7.255,8.149,9.013,9.900,10.905,11.830,12.768,13.749,14.771,15.730,16.727,17.761,18.727,19.694,20.765,21.734,22.702,23.706,24.743,25.712,26.716,27.753,28.722
h5-d40-w360,5,40,360,1.2561,3.6621,18.620,23.360,10.148,10.928,11.772,12.593,13.444,14.416,15.318,16.237,17.205,18.216,19.169,20.162,21.192,22.157,23.123,24.193,25.161,26.129,27.133,28.170,29.139,30.142,31.180,32.149
h5-d40-w315,5,40,315,1.2561,3.6621,18.620,22.041,8.693,9.504,10.375,11.217,12.085,13.071,13.983,14.910,15.882,16.898,17.853,18.848,19.879,20.844,21.811,22.881,23.849,24.818,25.821,26.858,27.827,28.831,29.868,30.837
h5-d40-w270,5,40,270,1.2561,3.6621,18.620,19.639,6.232,7.049,7.928,8.779,9.656,10.650,11.568,12.500,13.477,14.495,15.453,16.448,17.480,18.446,19.413,20.484,21.452,22.421,23.424,24.461,25.430,26.434,27.471,28.440
h5-d60-w360,5,60,360,1.2053,3.5139,18.441,23.206,10.039,10.811,11.647,12.462,13.308,14.274,15.172,16.089,17.053,18.063,19.015,20.007,21.036,22.000,22.966,24.036,25.004,25.973,26.976,28.013,28.982,29.985,31.023,31.992
h5-d60-w315,5,60,315,1.2053,3.5139,18.441,21.916,8.609,9.412,10.276,11.113,11.976,12.957,13.865,14.789,15.759,16.773,17.728,18.721,19.752,20.717,21.683,22.753,23.721,24.690,25.693,26.730,27.699,28.703,29.740,30.709
h5-d60-w270,5,60,270,1.2053,3.5139,18.441,19.537,6.163,6.974,7.848,8.694,9.566,10.557,11.472,12.401,13.376,14.393,15.350,16.345,17.376,18.342,19.309,20.379,21.347,22.316,23.319,24.356,25.325,26.329,27.366,28.335
h5-d80-w360,5,80,360,1.1798,3.4397,18.349,23.127,9.983,10.751,11.584,12.396,13.238,14.202,15.097,16.012,16.976,17.984,18.936,19.927,20.956,21.920,22.886,23.956,24.923,25.892,26.895,27.932,28.901,29.904,30.942,31.911
h5-d80-w315,5,80,315,1.1798,3.4397,18.349,21.852,8.565,9.365,10.226,11.060,11.920,12.898,13.804,14.727,15.696,16.709,17.663,18.656,19.686,20.651,21.617,22.687,23.655,24.624,25.627,26.664,27.633,28.637,29.674,30.643
h5-d80-w270,5,80,270,1.1798,3.4397,18.349,19.484,6.128,6.935,7.806,8.650,9.520,10.508,11.422,12.350,13.324,14.340,15.296,16.291,17.322,18.287,19.254,20.325,21.293,22.261,23.265,24.302,25.271,26.274,27.312,28.281
h6-d5-w360,6,5,360,3.4536,10.0689,23.012,27.698,13.832,14.742,15.709,16.630,17.565,18.611,19.565,20.524,21.520,22.553,23.520,24.522,25.558,26.526,27.495,28.567,29.536,30.505,31.508,32.546,33.515,34.518,35.556,36.525
h6-d5-w315,6,5,315,3.4536,10.0689,23.012,25.684,11.776,12.697,13.673,14.601,15.541,16.592,17.548,18.508,19.506,20.540,21.507,22.509,23.545,24.514,25.483,26.554,27.523,28.492,29.496,30.533,31.503,32.506,33.544,34.513
h6-d5-w270,6,5,270,3.4536,10.0689,23.012,22.328,8.525,9.416,10.368,11.279,12.208,13.249,14.200,15.156,16.152,17.184,18.149,19.151,20.187,21.155,22.124,23.196,24.165,25.134,26.137,27.175,28.144,29.147,30.185,31.154
h6-d10-w360,6,10,360,2.6927,7.8503,21.931,26.357,12.580,13.469,14.418,15.325,16.249,17.286,18.234,19.188,20.182,21.213,22.178,23.179,24.214,25.182,26.151,27.223,28.191,29.160,30.164,31.201,32.170,33.174,34.212,35.181
h6-d10-w315,6,10,315,2.6927,7.8503,21.931,24.589,10.748,11.655,12.616,13.534,14.465,15.509,16.460,17.417,18.413,19.445,20.411,21.412,22.448,23.417,24.385,25.457,26.426,27.395,28.398,29.436,30.405,31.408,32.446,33.415
h6-d10-w270,6,10,270,2.6927,7.8503,21.931,21.607,7.819,8.709,9.658,10.567,11.493,12.532,13.481,14.437,15.431,16.462,17.428,18.429,19.465,20.433,21.402,22.473,23.442,24.411,25.415,26.452,27.421,28.425,29.462,30.431
h6-d20-w360,6,20,360,2.2268,6.4922,21.106,25.455,11.773,12.642,13.571,14.463,15.375,16.402,17.342,18.292,19.282,20.310,21.274,22.274,23.309,24.277,25.245,26.316,27.285,28.254,29.257,30.295,31.264,32.268,33.305,34.274
h6-d20-w315,6,20,315,2.2268,6.4922,21.106,23.833,10.073,10.962,11.907,12.812,13.733,14.767,15.713,16.666,17.658,18.688,19.653,20.653,21.689,22.657,23.625,24.697,25.665,26.634,27.638,28.675,29.644,30.648,31.685,32.655
h6-d20-w270,6,20,270,2.2268,6.4922,21.106,20.970,7.263,8.135,9.069,9.965,10.880,11.910,12.853,13.805,14.796,15.825,16.789,17.790,18.825,19.793,20.761,21.833,22.801,23.770,24.774,25.811,26.780,27.784,28.821,29.791
h6-d40-w360,6,40,360,1.9791,5.7701,20.594,24.932,11.322,12.176,13.090,13.971,14.874,15.893,16.828,17.774,18.761,19.787,20.749,21.749,22.783,23.750,24.718,25.790,26.758,27.727,28.731,29.768,30.737,31.741,32.778,33.747
h6-d40-w315,6,40,315,1.9791,5.7701,20.594,23.389,9.693,10.568,11.501,12.395,13.308,14.336,15.276,16.226,17.216,18.244,19.207,20.207,21.242,22.210,23.178,24.249,25.218,26.187,27.191,28.228,29.197,30.201,31.238,32.207
h6-d40-w270,6,40,270,1.9791,5.7701,20.594,20.552,6.913,7.770,8.690,9.576,10.482,11.505,12.443,13.391,14.379,15.407,16.370,17.369,18.404,19.372,20.340,21.411,22.380,23.349,24.352,25.389,26.359,27.362,28.400,29.369
h6-d60-w360,6,60,360,1.8953,5.5257,20.406,24.746,11.165,12.012,12.922,13.798,14.697,15.712,16.645,17.589,18.575,19.601,20.562,21.561,22.595,23.563,24.530,25.602,26.570,27.539,28.543,29.580,30.549,31.553,32.590,33.559
h6-d60-w315,6,60,315,1.8953,5.5257,20.406,23.230,9.560,10.429,11.358,12.248,13.158,14.182,15.121,16.069,17.058,18.085,19.048,20.048,21.082,22.050,23.018,24.089,25.058,26.027,27.030,28.068,29.037,30.040,31.078,32.047
h6-d60-w270,6,60,270,1.8953,5.5257,20.406,20.395,6.784,7.636,8.550,9.431,10.334,11.354,12.290,13.236,14.224,15.250,16.213,17.212,18.247,19.214,20.182,21.253,22.222,23.191,24.194,25.232,26.201,27.204,28.242,29.211
h6-d80-w360,6,80,360,1.8533,5.4031,20.308,24.650,11.085,11.929,12.835,13.709,14.606,15.620,16.552,17.495,18.480,19.505,20.466,21.465,22.499,23.466,24.434,25.505,26.474,27.443,28.446,29.483,30.452,31.456,32.493,33.463
h6-d80-w315,6,80,315,1.8533,5.4031,20.308,23.148,9.492,10.359,11.284,12.173,13.081,14.103,15.041,15.988,16.977,18.004,18.966,19.966,21.000,21.968,22.936,24.007,24.976,25.945,26.948,27.985,28.954,29.958,30.996,31.965
h6-d80-w270,6,80,270,1.8533,5.4031,20.308,20.314,6.717,7.566,8.477,9.356,10.257,11.275,12.210,13.155,14.142,15.168,16.131,17.130,18.164,19.132,20.100,21.171,22.139,23.108,24.112,25.149,26.118,27.122,28.159,29.128
